"FamilyID","SortOrder","Family","Author","NoGenera","NoSpecies","FamilyDK","FamilyUK","FBiologyEuDK","FBiologyEuUK","FBiologyDkDK","FBiologyDkUK","FBiologyFoDK","FBiologyFoUK","FBiologyGlDK","FBiologyGlUK","FBiologyAzUK","FCharactersDK","FCharactersUK","FTaxNoteDK","FTaxNoteUK","NoDKSpecies","HasImages","HasDKspecies","HasFOspecies","HasGLspecies","HasAZspecies","IsPs","IsSc","SortOrderFamPage","IsPh"
"2","2","Filistatidae","Ausserer, 1867","2","12","Tragtkartespindere","Crevice Weavers","","","","","","","","","","","","","","0","1","0","0","0","1","0","0","37","0"
"3","3","Eresidae","C. L. Koch, 1851","4","19","Rørkartespindere","Velvet Spiders","","","","","","","","","","","","","","1","1","1","0","0","0","0","0","34","0"
"4","4","Amaurobiidae","Thorell, 1870","7","80","Huskartespindere","Hackledmesh Weavers","","This is a fairly small, poorly defined family, which is represented with ca. 680 species in 71 genera. They are found in most parts of the world with the exception of some arctic areas and islands such as Greenland and the Azorean Islands. Small to large spiders ranging 3-16 mm body size (Jocqué & Dippenaar-Schoeman 2007). Most European species are fairly large and robust, with relatively short and stout legs. Many species are ground dwellers constructing small funnel or tubular webs of cribellate or ecribellate silk under objects on the ground sometimes with a collar of silk spun around the opening. Some members of the <i>Amaurobius</i> genus constructs bluish cribellate webs behind bark of trees or on buildings and fences.","","","","This is a fairly small, poorly defined family, which is represented with ca. 680 species in 71 genera. They are found in most parts of the world with the exception of some arctic areas and islands such as Greenland and the Azorean Islands. Small to large spiders ranging 3-16 mm body size (Jocqué & Dippenaar-Schoeman 2007). Most European species are fairly large and robust, with relatively short and stout legs. Many species are ground dwellers constructing small funnel or tubular webs of cribellate or ecribellate silk under objects on the ground sometimes with a collar of silk spun around the opening. Some members of the <i>Amaurobius</i> genus constructs bluish cribellate webs behind bark of trees or on buildings and fences. On the Faroes this family is represented with one species in the <i>Amaurobius</i> genus. The occurrence of this species is believed to be the result of a recent introduction and the species has now become common in several urban areas.","","","","Ret store, kompakte edderkopper.","Most amaurobiids are cribellate but some genera transferred to Amaurobiidae from other families are ecribellate, e.g. <i>Coelotes</i> as well as other genera of the Coelotinae subfamily. Amaurobiids possess three tarsal claws and are entelegyne. The 8 eyes are usually pale and arranged in 2 rows of 4. The carapace is longer than wide, often having a broad, only slightly elevated head region. A fairly distinct, longitudinal fovea is present in many species. The sternum is oval to shield-shaped and blunt apex at rear. The lateral edges of the sternum are often sinuous. The chelicerae are often strong and usually longer and more slender in males than in females. The labium is formed like a rounded square or rectangle. The endites are almost parallel with brushes of hairs (scopulae) anteriorly. The abdomen is usually dominated by shades of brown or grey, often very dark and with markings as more or less distinct chevrons. It is densely covered by fine hairs of varying size. The legs are moderately long, especially in males and mostly uniformly coloured but sometimes with dark annulations. The tarsi and metatarsi are furnished with trichobothria arranged in rows, females with calamistrum on metatarsus IV having two rows of bristles. A more or less strongly divided cribellum is present anterior to the spinners. The cribellum is, however, reduced in males. The epigyne is often formed as a central plate separated from lateral parts by sutures. The male palp has simple sclerotized tibial apophyses and the shapes of these are important for species identification.","","","5","1","1","1","0","0","0","0","4","0"
"5","6","Titanoecidae","Lehtinen, 1967","3","16","Stenkrustrådsspindere","Rock Weavers","","","","","","","","","","","","","","0","1","0","0","0","0","0","0","33","0"
"6","7","Dictynidae","O. P.-Cambridge, 1871","18","78","Plantekrustrådspindere","Meshweb Weavers","","The Dictynidae is relatively species rich encompassing 563 species in 48 genera. The highest diversity is found in the temperate regions. They range in size from very small to medium (1.3-8.0 mm body size). The family is grouped into three rather different subfamilies: Dictyninae, Cicurininae, and Tricholathysinae. Dictynids are cribellate but cribellum is reduced in the Cicurininae. The lifestyle is quite different among the subfamilies. The Dictyninae, encompassing such genera as <i>Dictyna</i>, <i>Emblyna</i> and <i>Nigma</i> are mostly plant dwellers and are found in low vegetation as well as higher up such as shoot apices of grass and bushes or the foliage of trees. Here they build irregular, woolly mesh webs often made of bluish cribellate silk. The Cicurininae (e.g. <i>Cicurina</i> and <i>Lathys</i>) and Tricholathysinae (e.g. <i>Argenna</i> and <i>Altella</i>) are mostly ground-dwellers building their webs underneath logs, stones, and other objects on the ground. They are found in a variety of habitats. Members of the Tricholathysinae are also found in salt marshes and in algal upwash.","","","","","","The Dictynidae is relatively species rich encompassing 563 species in 48 genera. The highest diversity is found in the temperate regions. They range in size from very small to medium (1.3-8.0 mm body size). The family is grouped into three rather different subfamilies: Dictyninae, Cicurininae, and Tricholathysinae. Dictynids are cribellate but cribellum is reduced in the Cicurininae. The lifestyle is quite different among the subfamilies. The Dictyninae, encompassing such genera as <i>Dictyna</i>, <i>Emblyna</i> and <i>Nigma</i> are mostly plant dwellers and are found in low vegetation as well as higher up such as shoot apices of grass and bushes or the foliage of trees. Here they build irregular, woolly mesh webs often made of bluish cribellate silk. The Cicurininae (e.g. <i>Cicurina</i> and <i>Lathys</i>) and Tricholathysinae (e.g. <i>Argenna</i> and <i>Altella</i>) are mostly ground-dwellers building their webs underneath logs, stones, and other objects on the ground. They are found in a variety of habitats. Members of the Tricholathysinae are also found in salt marshes and in algal upwash. The two Greenlandic species are mostly found in shrubs, weeds, and among rocks and stones. They build rather messy, bluish cribellate webs, which are quite conspicuous when placed in the vegetation, especially in the tops of weeds and twigs. The two species are separable by their abdominal markings. <i>Dictyna major</i> has a light longitudinal bar in the centre of the cardiac mark while <i>Emblyna borealis</i> has a solid dark cardiac mark. The spikes of the anterior median band curve outward in <i>Dictyna major</i> but is being straight in <i>Emblyna borealis</i>. While the two species co-occur in SE, S, and SW Greenland <i>Emblyna borealis</i> is the only species in the northern parts.","The Dictynidae is relatively species rich encompassing 563 species in 48 genera. The highest diversity is found in the temperate regions. They range in size from very small to medium (1.3-8.0 mm body size). The family is grouped into three rather different subfamilies: Dictyninae, Cicurininae, and Tricholathysinae. Dictynids are cribellate but cribellum is reduced in the Cicurininae. The lifestyle is quite different among the subfamilies. The Dictyninae, encompassing such genera as <i>Dictyna</i>, <i>Emblyna</i> and <i>Nigma</i> are mostly plant dwellers and are found in low vegetation as well as higher up such as shoot apices of grass and bushes or the foliage of trees. Here they build irregular, woolly mesh webs often made of bluish cribellate silk. The Cicurininae (e.g. <i>Cicurina</i> and <i>Lathys</i>) and Tricholathysinae (e.g. <i>Argenna</i> and <i>Altella</i>) are mostly ground-dwellers building their webs underneath logs, stones, and other objects on the ground. They are found in a variety of habitats. Members of the Tricholathysinae are also found in salt marshes and in algal upwash. The family is represented with 4 species each in their own genus on the Azores.","Kaldes også plante-kartespindere på dansk, hvilket ikke er helt dækkende, særligt efter at familien har fået tilføjet slægterne <i>Cicurina</i> og <i>Mastigusa</i>, der tidligere var placeret i tragtspinder familien (Agelenidae). Sidstnævnte slægt er knyttet til myretuers indre, og individer træffes kun sjældent i den omkringliggende førn. Bortset fra disse to slægter indeholder familien små cribellate edderkopper, som anlægger små, uregelmæssige krustråsspind i toppen af urter og buske, i førn, under sten og på træstammer. Spindet er ikke klæbrigt som hos de fleste andre edderkopper, men består af mange krøllede tråde, som fastholder byttedyr ved hjælp af velcro virkning.","The dictynids are characterized by having 3 tarsal claws. They are cribellate but in many species the cribellum is reduced. They possess 8 eyes, however there are some 6-eyed <i>Cicurina</i> species in which the anterior medials are reduced. Some blind, cave dwelling <i>Cicurina</i> species even have they eyes reduced to zero. The calamistrum if present is arranged in one row (uniseriate). The cribellum is usually wide in those species possessing cribellum, bipartite or entire (absent in Cicurininae). The cephalic region of the Dictyninae is usually high perhaps to fit the relatively large poison glands. In this subfamily the cephalic region is furnished with longitudinal rows of white hairs. These are not present in the Tricholathysinae in which the carapace is pear-shaped. The sternum is triangular. The chelicerae are long and modified in males of some genera, e.g. <i>Dictyna</i>. The males of this genera has the chelicerae concave in front and bowed outward near the middle, often having a well developed mastidion (denticle or tubercle) on the anterior face of the chelicerae. The endites are converging. Legs are moderately long and usually without spines. In some genera tarsus of each leg are without a trichobothrium (e.g. <i>Dictyna</i>) while tarsus of each leg has one trichobothrium in others (e.g. <i>Lathys</i>). In <i>Cicurina</i>, tarsus of each leg possesses a series of trichobothria, which increase in length towards the distal end as in some genera of the Agelenidae family. In yet other dictynid genera there are two tarsal series of trichobothria. The abdomen is oval to elongate, often overhanging the carapace and densely covered with fine hairs, which sometimes are distributed to form a pattern. The cardiac mark is clear in some genera as in <i>Dictyna</i> but indistinct or absent in others as in <i>Cicurina</i>. Dictynids are entelegyne with the epigyne weakly sclerotized in some genera (e.g. <i>Dictyna</i> and <i>Argenna</i>) while more sclerotized in other genera (e.g. <i>Cicurina</i>). The male palp has a tibial apophysis. The embolus is long and slender in most species.","","","10","1","1","0","1","1","0","0","28","0"
"7","8","Oecobiidae","Blackwall, 1862","2","45","Teltspinderedderkopper","Starlegged Spiders","Arterne i både <i>Uroctea</i> og <i>Oecobius</i> har et meget karakteristisk udseende, og kan i Europa ikke forveksles med arter fra andre europæiske slægter og familier.","The species in both <i>Uroctea</i> og <i>Oecobius</i> have a highly characteristic appearance and cannot be mistaken for any other European species.","","","","","","","","Små til mellemstore edderkopper med seks eller otte øjne.","Small to medium-sized spiders with six or eight eyes.","Slægten <i>Uroctea</i> har tidligere været placeret i familien Urocteidae fordi slægtens arter modsat familiens anden europæiske slægt, <i>Oecobius</i>, mangler cribellum. Cribellum er et pladeformet spindeorgan som producerer krustrådsspind. Det er et ret komplekst organ, og tidligere mente edderkoppe-systematikere at <i>Uroctea</i> og <i>Oecobius</i> var fjerntbeslægtede. Men flere undersøgelser har vist et nært fylogenetisk slægtskab mellem de to slægter, og indikerer at cribellum er opstået uafhængigt i flere afstamningslinier, et fænomen som kaldes konvergent evolution.","The genus <i>Uroctea</i> was earlier assigned to its own family Urocteidae bacause the members lack a cribellum in contrast to the other European genus <i>Oecobius</i>. A cribellum is a transverse plate in front of the spinnerets producing multithreaded cribellate silk. Thus it is a complex organ which earlier on caused people working with spider systematics to believe that <i>Uroctea</i> and <i>Oecobius</i> were distantly related taxa. However, a number of studies has indicated a close phylogenetic relationship between the two genera, indicating that the cribellem has evolved independently in different spider lineages, a phenomenon termed convergent evolution.","0","1","0","0","0","1","0","0","23","0"
"8","9","Uloboridae","Thorell, 1869","4","11","Hjulkrustrådsspindere","Cribellate Orb Weavers","Familen indeholder i europa tre artsfattige slægter af særprægede edderkopper, som spinder fangnet af hjulspindtypen, eller fangnet der kan afledes deraf. Dermed benytter de samme konstruktion af fangnettet som de fjerntbeslægtede hjulspindere (korsedderkopper m fl.). Der er dog en stor forskel, idet trådene i fangspiralen hos hjulkrustrådspindere er af cribellat typen (krusspind) som ikke klistrer, men fastholder byttedyr ved hjælp af  velcro virkning. I modsætning hertil afsætter hjulspinderne limdråber på fangspiralen. Hjulkrustrådspindere er også særprægede ved ikke at benytte gift til immobilisering af byttedyrene. I stedet spindes byttet forsigtigt ind i et meget tæt spind, så det ikke længere udgør en fare for edderkoppen. Først da udsuges byttet.","This is a fairly small family, which is represented by ca. 263 species placed in 18 genera and 4 subfamilies. They range in size from small to medium (3-10 mm body size). They spin complete orb webs or sections of orbs similar to the Araneidae and related families. The plane of the web is often more or less horizontal. The spiral threads are made up of cribellate silk rather than silk with glue droplets as in the Araneidae. Uloborids are also unique among spiders in lacking poison glands. Once a prey is tangled in the web it is very carefully covered with silk and feeding begins only when the prey is fully immobilised.","I Danmark er familien repræsenteret med to arter, hvoraf den ene er indslæbt.","The family has two species in Denmark.","","This is a fairly small family, which is represented by ca. 263 species placed in 18 genera and 4 subfamilies. They range in size from small to medium (3-10 mm body size). They spin complete orb webs or sections of orbs similar to the Araneidae and related families. The plane of the web is often more or less horizontal. The spiral threads are made up of cribellate silk rather than silk with glue droplets as in the Araneidae. Uloborids are also unique among spiders in lacking poison glands. Once a prey is tangled in the web it is very carefully covered with silk and feeding begins only when the prey is fully immobilised. There is just one introduced Faroese species, <i>Uloborus plumipes</i> which cannot be mistaken for any other species on the islands. Specimens have been found in a greenhouse on Vágoy, in a warehouse in Tórshavn and in a few houses.","","","","","The uloborids are entelegyne, cribellate spiders having four or eight eyes and three tarsal claws. They eyes are arranged in two rows of four in the subfamilies Hyptiotinae and Uloborinae. In Miagrammopinae the anterior row is reduced leaving just one row of four. The fourth subfamily, Tangaroinae, has mixed arrangement of the eyes since this subfamily is defined by other characters than carapace morphology. The eyes of <i>Hyptiotes</i> are very peculiar since they are placed rather far back on the carapace. The posterior row is situated about midway on the carapace and the laterals are placed on tubercles. The anterior row is also well removed from the front of the head. Uloborids are also characterized by a dorsally compressed, curved metatarsus IV possessing a uniseriate calamistrum (often absent in males). Additionally diagnostic characters include rows of long trichobothria on femora and the absence of poison glands. The carapace form is very different among the subfamilies and varies from long and narrow (Miagrammopinae) to ovoid (Uloborinae) and triangular (Hyptiotinae). The carapace is clothed with plumose hairs except in the Uloborinae. The sternum is divided in Miagrammopinae but undivided in other subfamilies. The shape is variable, some long, some oval, and some roughly triangular. The chelicerae do not possess a lateral condyle or poison glands. The fang furrows are provided with a cluster of small teeth or with fewer larger teeth. The shape of the labium is also very different among the subfamilies. In Hyptiotinae and Uloborinae it is semicircular but longer in Miagrammopinae. Many species have legs I and IV the longest with legs II only slightly shorter than legs IV. In Uloborinae tibia I is provided with a brush of long hairs. The female palp is provided with a dentate claw. The abdomen may have one or more pairs of humps (four pairs in <i>Hyptiotes cavatus</i>). Usually the colours and body shape provide excellent camouflage but there are some exceptions, for example <i>Uloborus walckenaerius</i> is easily spotted in the field. The anal tubercle is large and two-segmented. The anterior spinners are three-segmented. An undivided cribellum is present in front of the spinners with the exception of some males. The tracheal spiracle is situated in front of the cribellum. The epigyne is with paired projections (e.g. <i>Uloborus</i>) or unpaired (e.g. <i>Hyptiotes</i>). The male palp is complicated sometimes relatively large compared to the size of the spider. The palpal femur has a small tubercle in many species.","","","1","1","0","1","0","0","0","0","36","0"
"9","10","Oonopidae","Simon, 1890","12","32","Dværg-seksøjespindere","Dwarf Cell Spiders","I Nord- og Mellemeuropa findes arter som er indslæbt fra varmere himmelstrøg til væksthuse og andre bygninger.","Some species occurring in North and Central Europe are introduced to greenhouses and other buildings from warmer regions.","","","","","","","","Familie med meget små arter på omkring 1.5 til 2.5 mm længde. De kun seks, forholdsmæssigt store øjne sidder sammentrængt i en gruppe på et smalt hoved, der kun er lidt bredere end øjengruppen. En slægt, <i>Diblemma</i>, har kun to øjne. Arterne er fortrinsvis røde eller lyserøde- rødorange i farve.","The members of this family are rather small, about 2 mm in body length. They have only six, relatively large eyes that are virtually contigous and situated on a narrow head, marginally wider than the eyegroup. The species are generally coloured in shades of red, pink and orange.","","","2","1","0","0","0","1","0","0","26","0"
"10","11","Scytodidae","Blackwall, 1864","1","10","Spytteedderkopper","Spitting Spiders","","","","","","","","","","","","","","1","1","0","0","0","1","0","0","6","0"
"11","12","Dysderidae","C. L. Koch, 1837","21","312","Seksøjespindere","Woodlouse Spiders","","","","","","","","","There is one species on the Azores in the genus <i>Dysdera/i>.","Seksøjede edderkopper med øjnene arrangeret i en oval ring. Bagkroppen i ensfarvet uden mønster, <i>Harpactea hombergi</i> dog med lyst parti omkring spindevorterne. Haplogyne edderkopper, det vil sige at der ikke er noget udvendigt hunligt kønsorgan (epigyn) og hannernes palpe organer er relativt simple. Benene er kraftige, uden behåring, og med få eller ingen torne.","Six-eyed spiders with the eyes arranged in an oval ring. They are haplogyne without epigynes and the male palpal organs are relatively simple. The legs are stout, without much hair and usually with few or none spines.","","","2","1","0","0","0","1","0","0","31","0"
