"PhotoId","RefId","SpeciesId","LocID","SubjectDK","SubjectUK","Filename","IsFO","IsGL","IsGR","IsAZ","IsPS","TimeStamp"
"1","1629","285","132","Hun siddende på sin retræte, som den forsigtigt er blevet gennet ud af.","The adult female shown here sits rather unnaturally on top of its retreat from which it was gently retracted in order to shoot the image.","Pictures\Araneus_alsine_hun_001.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"2","1629","285","132","Hun","Female","Pictures\Araneus_alsine_hun_002.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"3","2101","119","129","Subadult hun","Subadult female","Pictures\Diaea_dorsata_subadulthun_362.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"4","1623","940","43","Han","Male","Pictures\Eresus_sandaliatus_han_320.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"5","1752","677","38","Han","Male","Pictures\Oonops_domesticus_han_256.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"6","1663","142","109","Han","Male","Pictures\Ozyptila_atomaria_han_201.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"7","1592","1110","43","Hun","Female","Pictures\Atypus_affinis_hun_181.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"8","1668","289","50","Hun","Female","Pictures\Larinioides_sclopetarius_hun_177.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"9","1667","385","184","Hun","Female with a rather shrivelled abdomen due to recent egg-laying.","Pictures\Steatoda_albomaculata_hun_165.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"10","1659","64","174","Hannen blev fundet sammen med en hun i dennes spind i toppen af en lyngbusk.","This male was found in the female’s silken cell built in the top of a heather bush.","Pictures\Cheiracanthium_erraticum_han_029.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"11","1635","263","134","Hun","Female","Pictures\Tegenaria_agrestis_hun_363.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"12","1753","386","38","Han","Male","Pictures\Steatoda_bipunctata_han_398.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"13","1987","231","193","Han","Male","Pictures\Alopecosa_fabrilis_han_343.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"14","1634","608","190","Hun","Female","Pictures\Labulla_thoracica_hun_345.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"15","1776","619","185","Hun","Female","Pictures\Tenuiphantes_zimmermanni_hun_334.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"16","1626","614","136","Han","Male","Pictures\Lepthyphanthes_minutus_han_346.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"17","1700","121","204","Han","Male","Pictures\Heriaeus_melloteei_han_050_051.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"18","1930","112","201","Hun","Female","Pictures\Thomisus_onustus_hun_052.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"19","1925","294","201","Hun","Female","Pictures\Aculepeira_ceropegia_hun_099.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"20","1977","70","113","Hun","Female","Pictures\Agroeca_lusatica_hun_233.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"21","1974","610","113","Han","Male","Pictures\Bolyphanthes_luteolus_han_239.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"22","1971","526","113","Hun","Female","Pictures\Leptothrix_hardyi_hun_298.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"23","1971","526","113","Han","Male","Pictures\Leptothrix_hardyi_han_284.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"24","1973","25","113","Hun","Female","Pictures\Zelotes_electus_hun_247.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"25","1979","55","113","Han","Male","Pictures\Clubiona_frisia_han_243.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"26","1969","609","113","Han","Male","Pictures\Stemonyphantes_lineatus_han_240.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"27","866","51","66","Hun","Female","Pictures\Clubiona_pallidula_hun_122.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"28","1706","683","204","Hun","Female","Pictures\Dysdera_erythrina _hun_090.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"29","1983","370","193","Juvenil","Juvenile","Pictures\Episinus_angulatus_juv_261.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"30","1624","638","136","Han","Male","Pictures\Neriene_clathrata_han_Image328.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"31","1720","653","206","Hun","Female","Pictures\Amaurobius_ferox_hun_108.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"32","1620","943","191","Han","Male","Pictures\Alopecosa_inquilina_han_339.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"33","1627","587","136","Hun","Female","Pictures\Centromerita_bicolor_hun_333.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"34","1651","123","187","Hun","Female","Pictures\Xysticus_cristatus_hun_210.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"35","1666","293","109","Hun","Female","Pictures\Neoscona_adianta_hun_197.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"36","1665","55","109","Han","Male","Pictures\Clubiona_frisia_han_194.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"37","1661","161","109","Juvenil","Juvenile","Pictures\Tibellus_maritimus_juv_193.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"38","1759","295","126","Juvenil","Juvenile","Pictures\Agalenatea_redii_191.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"39","1736","288","125","Han","Male","Pictures\Larinioides_cornutus_han_205.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"40","1622","297","191","Hun","Female","Pictures\Cercidia_prominens_hun_307.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"41","1621","620","191","Han","Male","Pictures\Tenuiphantes_cristatus_han_309.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"42","1619","588","191","Han","Male","Pictures\Centromerita_concinna_han_312.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"43","1962","97","192","Juvenil","Juvenile","Pictures\Tetragnatha_striata_juvhan_300.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"44","1795","106","43","Han","Male","Pictures\Zora_spinimana_han_272.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"45","1607","230","113","Han","Male","Pictures\Alopecosa_barbipes_han_278.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"46","1986","76","193","Hun","Female","Pictures\Scotina_gracilipes_hun_250.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"47","1635","263","134","Hun","Female","Pictures\Tegenaria_agrestis_hun_366.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"48","1995","604","61","Han","Male","Pictures\Drapetisca_socialis_han_252.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"49","1981","295","193","Juvenil","Juvenile","Pictures\Agalenatea_redii_juv_257.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"50","1066","253","133","Juvenil","Juvenile","Pictures\Dolomedes_plantarius_juv_150.jpg","0","0","0","0","0","20-06-2005 18:28:27"
