"SpeciesID","GenusID","Species","SAuthor","NameDK","NameUK","SBiolEuDK","SBiolEuUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK"
1,214,"italicum","(Canestrini, 1868)",,,,,,,,,,,,,,,,
4,1,"lapidosus","(Walckenaer, 1802) ",,,,,,,"9-18","9-18",,,,,"Ret sjælden i Danmark.",,,
5,1,"cupreus","(Blackwall, 1834)",,,,,"Stort set identisk med <i>D. lapidosus</i>. Forkrop med mørk kantlinie.","Very similar to <i>D. lapidosus</i>. The cephalothorax has a dark borderline.","9-18","9-18","Tørre lysåbne steder såsom heder, grusgrave, klitter og overdrev. Retræten, hvor edderkopperne opholder sig om dagen, findes typisk under sten, i førn, mos eller basis af vegetation, f.eks tuer.","Dry places, such as heather, gravel beds, dunes and dry grassland. Spiders can be found in their retreats by turning stones or searching leaf  litter, moss, grass tussucks etc.",,,"Almindelig i Danmark og det meste af Europa.","Common in Denmark. Widespread in Europe.",,
6,1,"pubescens","(Thorell, 1856)",,,,,"Det er en relativ lille art som alene på størrelsen kan adskilles fra slægtens to øvrige arter, selvom den udseendemæssigt ligner. Arten er dog en anelse blegere.","Similar in general appearance to the other two species of the genus, however slightly paler. The relatively small size of the adults ease species identification.","5-7","6-8","Tørre eller let fugtige lysåbne steder såsom heder, skovkanter og lysåbne skove.","Dry or somewhat moist habitats such as heather, forest edges and open forests.",,,"Findes spredt i Danmark men er ikke særlig almindelig. Det samme gælder for resten af Europa.","Widespread in Denmark and Europe but rather uncommon.",,
7,2,"signifer","(C. L. Koch, 1839)","Jordjæger","Stealthy ground spider","Arten findes ret almindeligt på lysåbne steder hvor den om dagen opholder sig i en gravet retræte foret med spind. Retræten kan være anlagt under sten, i lav, mos, førn eller under andre objekter på jorden. Undertiden træffes hunnen i retræten vogtende et diskosformet ægspind.",,"Varierer i farve fra brun til næsten sort. Lidt buttet, fladtrykt  bagkrop, undertiden med lidt lysere farvetegninger. Endvidere er tre par langsgående lysere streger som regel synlige, hvoraf det bagerste par er skråt orienteret.","Carapace greyish brown to dark brown, head gradually darker towards anterior edge in lighter specimens. Chelicerae dark brown. Sternum dark brown. Legs brown. The abdomen is somewhat flattened, brown to blackish. Three pairs of longitudinal short stripes (sigilla?) are sometimes visible on dorsum, the posterior pair oblique. Light, obscure chevrons sometimes present in lighter, mostly female specimens. Males generally darker than females, sometimes nearly black.","5-8","7-9","Lysåbne, gerne tørre steder såsom klitter, heder, overdrev og sandmarker. Også alpine stenmarker og tundra i bjergegne.","Open, mostly dry habitats such as heathland, dunes and sandy grassland.","Lysåbne, gerne tørre steder såsom klitter, heder, overdrev og sandmarker.",,"Slægtens almindeligste art. Vidt udbredt i Europa.","The commonest species of the genus and widespread in Europe.","Almindelig og kendt fra alle landsdele.",
8,2,"dalmatensis","(L. Koch, 1866)",,,,,,,,,,,,,,,,
9,2,"silvestris","(Blackwall, 1833)",,,,,,,,,,,,,,,,
10,2,"minor","(O. P.-Cambridge, 1879)",,,,,"Minder om <i>H. signifer</i> men er meget mindre. Størrelsen af voksne er en god karakter i artsadskillelsen.","Resemble <i>H. signifer</i> but is much smaller. The size of adults is helpful in identifying the species.","3.5","4","Sten- og sandstrande med opskyl.","Coastal shingle and sandy beaches with upwash.",,,"Første fund af denne art i Danmark var i 2005, hvor en han blev taget ved Vejle Fjord. Sjælden men vidt udbredt i Europa.","First Danish record is from 2005, where a male was collected at Vejle Fiord. Rare in Europe.",,
13,3,"blackwalli","(Thorell, 1871)",,,,,"Arten er også kendt som <i>Herpyllus blackwalli</i>. Hannen lidt mindre end hunnen, ellers ligner kønnene hinanden meget. Forkrop orangebrun med tiltrykte grå hår. Ben orangebrune.","This species is also known under the name <i>Herpyllus blackwalli</i>. Males slightly smaller than females, otherwise  the sexes are similar. The cephalothorax and legs are orange brown covered with grey hairs.","7-10","9-12","I Danmark kun indendørs i opvarmede huse. I varmere europæiske lande også udendørs under bark og i murrevner.","In Denmark only inside heated houses. In warmer parts of Europe also outdoors under bark and crevices in walls.",,,"Vidt udbredt i Danmark og Europa, også indslæbt til USA.","Widespread and common in Denmark and Europe. Also imported to the USA.",,
14,3,"scutulatus","(L. Koch, 1866)",,,,,,,,,,,,,,,,
16,300,"pedestris","(C. L. Koch, 1837) ",,,,,,,,,,,,,,,,
22,4,"latreillei","(Simon, 1878)",,,,,"Ret stor, blanksort art med et par kontrasterende orange plader (operculae)  foran kønsfuren. Bortset fra operculae er de  yderste led af benene (tarsi) det eneste der ikke er helt sort på arten, i det de typisk er brungrå.","Large, shiny black species.  Except for orange operculae, the only non black parts are the tarsi which are brownish-grey.","4.5-7.5","7-8","Varmede sandede steder, eksempelvis klitter, marint forland, lysåbne skove på sandbund.","In a variety of dry situations, such as dunes, sandy foreland and open forest on sandy soil.",,,"Vidt udbredt i Danmark og Europa og ret almindelig.","Widespread in Denmark and Europa.",,
23,4,"longipes","(L. Koch, 1866)",,,,,,,,,,,,,,,,
24,4,"petrensis","(C. L. Koch, 1839)",,,,,"Stort set identisk i udseende med <i>Z. latreillei</i>, men en anelse mindre. De to arter kan nok kun adskilles ved at sammenligne de udvendige kønsorganer under stereolup.","Almost identical to <i>Z. latreillei</i> but slightly smaller. The two species are only separated by examinating the genitilia using a microscope.","5-6","6-7","I Danmark typisk på heder og i varme, sandede skove. Mindre kystbunden end <i>Z. latreillei</i>.","Heather and sandy pine forests. Less coastal in distribution than <i>Z. latreillei</i>.",,,"Ret almindelig på heder i Midt- og Østjylland. Sjælden i Østdanmark. Vidt udbredt i Europa.","Locally common in Denmark, especially in the central and eastern parts of Jutland. Widespread in Europe.",,
