"SpeciesID","GenusID","Species","PsFurtherTaxa","SortOrder","SAuthor","N_D","NameDK","NameUK","SpEu","SpFO","SpGL","SpAZ","SBiolEuDK","SBiolEuUK","SBiolDkDK","SBiolDkUK","SBiolFoDK","SBiolFoUK","SBiolGlDK","SBiolGlUK","SBiolAzUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SHabFoDK","SHabFoUK","SHabGlDK","SHabGlUK","SHabAzUK","SMatEuDK","SMatEuUK","SMatDkDK","SMatDkUK","SMatFoDK","SMatFoUK","SMatGlDK","SMatGlUK","SMatAzUK","SOriginFO","SOriginAZ","Notes","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK","SDistriFoDK","SDistriFoUK","SDistriGlDK","SDistriGlUK","SDistriAzUK","P_Distribution","VH_Distribution","AD","AL","AUT","BA","BE","BG","BYR","CH","CY","CZ","DE","DK","EE","ES_BAL","ES_CNY","ES_SPA","FI","FO","FR_COR","FR","GB","GB_CI","GB_GI","GB_NI","GR_AEG","GR_CYC","GR_DOD","GR_GRC","GR_KRI","HR","HU","ICL","IE","IT_ITA","IT_SAR","IT_SI","LI","LT","LU","LV","MC","MD","MK","MT","NL","NO_NOR","NO_SVA","PL","PT_AZO","PT_MDR","PT_POR","PT_SEL","RO","RU_FJL","RU_KGD","RU_NOZ","RU_RUC","RU_RUE","RU_RUN","RU_RUS","RU_RUW","SE","SI","SK","SM","TR_TUE","UA","VA","YU"
"9","2","silvestris","0","","(Blackwall, 1833)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Austria, Belarus, Belgium, Bulgaria, Czech Republic, Denmark, Finland, France (Mainland), Germany, Great Britain (Mainland), Greece (Mainland), Hungary, Italy (Mainland), Latvia, Lithuania, Macedonia, Moldova, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (Kaliningrad Region), Russia (Northern European), Russia (Southern European), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","P","P","","P","P","P","","","","P","P","","","P","P","","","","","","","P","","","P","","","P","","","","P","","P","","P","P","","P","P","","P","","","","","P","","P","","P","P","P","P","","P","P","P","","","P","","P"
"10","2","minor","0","","(O. P.-Cambridge, 1879)","0","","","0","0","0","0","","","","","","","","","","Minder om <i>H. signifer</i> men er meget mindre. Størrelsen af voksne er en god karakter i artsadskillelsen.","Resemble <i>H. signifer</i> but is much smaller. The size of adults is helpful in identifying the species.","3.5","4","Sten- og sandstrande med opskyl.","Coastal shingle and sandy beaches with upwash.","","","","","","","","Sommer.","Summer.","","","","","","","","","","","Første fund af denne art i Danmark var i 2005, hvor en han blev taget ved Vejle Fjord. Sjælden men vidt udbredt i Europa.","First Danish record is from 2005, where a male was collected at Vejle Fiord. Rare in Europe.","","","","","","","","Europe, Russia","Austria, Bulgaria, Croatia, Czech Republic, Denmark, Germany, Great Britain (Mainland), Greece (Crete), Greece (Mainland), Hungary, Italy (Mainland), Macedonia, Moldova, Norway (Mainland), Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Southern European), Slovakia, Spain (Canary Islands), Switzerland, Ukraine, Yugoslavia","","","P","","","P","","P","","P","P","P","","","P","","","","","","P","","","","","","","P","P","P","P","","","P","","","","","","","","P","P","","","P","","P","","","P","","P","","","","P","","","P","","","","P","","","P","","P"
"11","2","soerenseni","0","","(Strand, 1900)","0","","","0","0","0","0","","","","","","","","","","Mindre og generelt mere brunlig end <i>H. signifer</i> som den ellers ligner meget.","Similar to <i>H. signifer</i> but smaller and the overall colouration is more brownish.","4.5.5.5","6-7","Skovbund i lysåbe fyrre- og granskove, hvor retræten kan findes skjult i mos eller under objekter.","Forest floor of open pine and coniferous forests. The retreat can be found in moss or under objects.","","","","","","","","Sommer.","Summer.","","","","","","","","","","","Ikke kendt fra Danmark, men dog fra lande omkring os. Vidt udbredt i Europa, men ikke almindelig.","Absent from Denmark but recorded in all neigbouring countries. Widespread in Europe but generally uncommon.","","","","","","","","Palearctic","Austria, Belarus, Czech Republic, Estonia, Finland, Germany, Great Britain (Mainland), Italy (Mainland), Latvia, Liechtenstein, Lithuania, Norway (Mainland), Poland, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (NW. European), Slovakia, Sweden, Switzerland, Ukraine","","","P","","","","P","P","","P","P","","P","","","","P","","","","P","","","","","","","","","","","","","P","","","P","P","","P","","","","","","P","","P","","","","","","","","","P","P","P","","P","P","","P","","","P","",""
"12","2","umbratilis","0","","(L. Koch, 1866)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe to Kazakhstan","Austria, Belarus, Belgium, Bulgaria, Czech Republic, Estonia, Finland, France (Mainland), Germany, Great Britain (Mainland), Greece (Mainland), Hungary, Italy (Mainland), Latvia, Liechtenstein, Lithuania, Macedonia, Netherlands, Norway (Mainland), Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (Southern European), Slovakia, Slovenia?, Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","P","P","","P","P","","P","","","P","P","","","P","P","","","","","","","P","","","P","","","P","","","P","P","","P","","","P","","P","P","","P","","","P","","P","","","","P","P","P","P","","P","PQ","P","","","P","","P"
"13","3","blackwalli","0","","(Thorell, 1871)","0","","","0","0","0","1","","","","","","","","","","Arten er også kendt som <i>Herpyllus blackwalli</i>. Hannen lidt mindre end hunnen, ellers ligner kønnene hinanden meget. Forkrop orangebrun med tiltrykte grå hår. Ben orangebrune.","This species is also known under the name <i>Herpyllus blackwalli</i>. Males slightly smaller than females, otherwise  the sexes are similar. The cephalothorax and legs are orange brown covered with grey hairs.","7-10","9-12","I Danmark kun indendørs i opvarmede huse. I varmere europæiske lande også udendørs under bark og i murrevner.","In Denmark only inside heated houses. In warmer parts of Europe also outdoors under bark and crevices in walls.","","","","","","","","Hunner hele året, hanner fra sommer til efterår.","Females throughout year, males in summer and autumn.","","","","","","","","","I","","Vidt udbredt i Danmark og Europa, også indslæbt til USA.","Widespread and common in Denmark and Europe. Also imported to the USA.","","","","","","","São Miguel","Cosmopolitan","Austria, Belgium, Bulgaria, Croatia, Denmark, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Greece (Dodecanese Islands), Hungary, Ireland, Italy (Mainland), Italy (Sicily), Malta, Netherlands, Norway (Mainland), Poland, Portugal (Azores), Portugal (Madeira), Portugal (Mainland), Portugal (Selvagens Islands), Romania, Russia (Northern European), Slovakia, Spain (Canary Islands), Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","","P","","","P","P","","","P","P","","","P","P","P","","","","","","P","","","P","P","","P","P","","P","","","","","","","","P","P","P","","P","P","P","P","P","P","","","","","","P","","","P","","P","","","P","","P"
"14","3","scutulatus","0","","(L. Koch, 1866)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe to Central Asia, Algeria","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, France (Mainland), Germany, Great Britain (Mainland), Greece (Crete), Greece (Cyclades), Greece (Mainland), Hungary, Italy (Mainland), Italy (Sardinia), Liechtenstein, Lithuania?, Macedonia, Malta, Moldova, Netherlands, Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Southern European), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","","P","","P","P","P","","","","P","","","","P","P","","","","","P","","P","P","P","P","","","P","P","","P","PQ","","","","P","P","P","P","","","P","","","P","","P","","","","P","","","P","","P","P","P","","","P","","P"
"15","3","quadripunctatus","0","","(Linnaeus, 1758) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe, Russia","Austria, Belarus, Bulgaria, Croatia, Czech Republic, Estonia, France (Mainland), Germany, Hungary, Italy (Mainland), Latvia, Liechtenstein, Lithuania, Moldova, Netherlands, Norway (Mainland), Poland, Romania, Russia (Central European), Russia (Eastern European), Russia (NW. European), Russia (Southern European), Slovakia, Sweden, Switzerland, Ukraine","","","P","","","P","P","P","","P","P","","P","","","","","","","P","","","","","","","","","","P","P","","","P","","","P","P","","P","","P","","","P","P","","P","","","","","P","","","","P","P","","P","P","P","","P","","","P","",""
"16","300","pedestris","0","","(C. L. Koch, 1837) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe to Azerbaijan","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, France (Mainland), Germany, Great Britain (Mainland), Greece (Dodecanese Islands), Greece (Mainland), Hungary, Italy (Mainland), Italy (Sicily), Latvia, Liechtenstein, Macedonia, Netherlands, Poland, Portugal (Mainland), Romania, Russia (Kaliningrad Region), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland, Ukraine, Yugoslavia","","","P","","P","P","","P","","P","P","P","P","","","P","","","","P","P","","","","","","P","P","","P","P","","","P","","P","P","","","P","","","P","","P","","","P","","","P","","P","","P","","","","","","","P","P","P","","","P","","P"
"21","301","rusticus","0","","(L. Koch, 1872) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cosmopolitan","Austria, Bulgaria, Croatia, Czech Republic, Denmark (introduced), France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Greece (Mainland), Italy (Mainland), Italy (Sicily), Macedonia, Portugal (Madeira), Portugal (Mainland), Portugal (Selvagens Islands), Romania, Russia (Central European), Russia (NW. European), Russia (Southern European), Spain (Canary Islands) (introduced), Spain (Mainland), Switzerland","","","P","","","P","","P","","P","P","PI","","","PI","P","","","P","P","P","","","","","","","P","","P","","","","P","","P","","","","","","","P","","","","","","","P","P","P","P","","","","P","","","P","P","","","","","","","",""
"1","214","italicum","0","","(Canestrini, 1868)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, France (Corsica), France (Mainland), Germany, Great Britain (Mainland), Italy (Mainland), Macedonia, Netherlands, Slovenia, Spain (Mainland), Switzerland, Ukraine","","","P","","P","P","","P","","P","P","P","","","","P","","","P","P","P","","","","","","","","","P","","","","P","","","","","","","","","P","","P","","","","","","","","","","","","","","","","","","P","","","","P","",""
"2","214","gallicum","0","","(Simon, 1873)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France, Corsica, Italy, Balkans, Turkey","Croatia, France (Corsica), France (Mainland), Italy (Mainland), Macedonia, Spain (Mainland)","","","","","","","","","","","","","","","","P","","","P","P","","","","","","","","","","P","","","","P","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","214","germanicum","0","","(C. L. Koch, 1837)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe","Austria, Croatia, Czech Republic, Germany, Greece (Mainland), Hungary, Macedonia, Poland, Romania, Slovakia, Slovenia, Ukraine, Yugoslavia","","","P","","","","","","","P","P","","","","","","","","","","","","","","","","","P","","P","P","","","","","","","","","","","","P","","","","","P","","","","","P","","","","","","","","","","P","P","","","P","","P"
"4","1","lapidosus","0","","(Walckenaer, 1802) ","0","","","0","0","0","1","","","","","","","","","","","","9-18","9-18","","","","","","","","","","Hunner hele året, hanner forår og sommer.","Females throughout year, males in spring and summer.","","","","","","","","","I","","Ret sjælden i Danmark.","","","","","","","","Faial, Terceira","Palearctic","Andorra, Austria, Belgium, Bosnia/Herzegowina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France (Corsica), France (Mainland), Germany, Great Britain (Channel Islands), Great Britain (Mainland), Great Britain (Northern Ireland), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sardinia), Italy (Sicily), Latvia, Liechtenstein, Macedonia, Malta, Moldova, Norway (Mainland), Poland, Portugal (Azores), Portugal (Madeira), Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Northern European), Russia (Southern European), Slovakia, Slovenia, Spain (Canary Islands), Spain (Mainland), Switzerland, Ukraine, Yugoslavia","P","","P","P","P","P","","P","","P","P","P","P","","P","P","P","","P","P","P","P","","P","","","","P","","P","P","","P","P","P","P","P","","","P","","P","P","P","","P","","P","P","P","P","","P","","","","P","P","P","P","","","P","P","","","P","","P"
"5","1","cupreus","0","","(Blackwall, 1834)","0","","","0","0","0","0","","","","","","","","","","Stort set identisk med <i>D. lapidosus</i>. Forkrop med mørk kantlinie.","Very similar to <i>D. lapidosus</i>. The cephalothorax has a dark borderline.","9-18","9-18","Tørre lysåbne steder såsom heder, grusgrave, klitter og overdrev. Retræten, hvor edderkopperne opholder sig om dagen, findes typisk under sten, i førn, mos eller basis af vegetation, f.eks tuer.","Dry places, such as heather, gravel beds, dunes and dry grassland. Spiders can be found in their retreats by turning stones or searching leaf  litter, moss, grass tussucks etc.","","","","","","","","Hunner hele året, hanner forår og sommer.","Females throughout year, males in spring and summer.","","","","","","","","","","","Almindelig i Danmark og det meste af Europa.","Common in Denmark. Widespread in Europe.","","","","","","","","Palearctic","Andorra, Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, France (Mainland), Germany, Great Britain (Mainland), Great Britain (Northern Ireland), Hungary, Ireland, Italy (Mainland), Liechtenstein, Macedonia, Malta, Netherlands, Norway (Mainland), Romania, Russia (Kaliningrad Region), Slovakia, Slovenia, Spain (Mainland), Sweden, Switzerland","P","","P","","P","P","","P","","P","P","P","","","","P","","","","P","P","","","P","","","","","","P","P","","P","P","","","P","","","","","","P","P","P","P","","","","","","","P","","P","","","","","","","P","P","P","","","","",""
