"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
1;"Gnaphosidae";"Scotophaeus";"blackwalli";"(Thorell, 1871)";"Jørgen Lissner";"JL00001";1;1;0;1;0;"Jørgen Lissner";"Jørgen Lissner";15;3;1990;"EJ";"Assedrupvej 29, Odder (Århus)";56.00484;10.18475;25;;;;;"NH70"
2;"Linyphiidae";"Porrhomma";"pygmaeum";"(Blackwall, 1834)";"Jørgen Lissner";"JL00002";1;1;1;0;0;"Jørgen Lissner";"Jørgen Lissner";15;3;1990;"EJ";"Assedrup Enge, småskov mellem Hesselballegård og engen";56.00637;10.2026;25;;;;;"NH70"
3;"Linyphiidae";"Bathyphantes";"gracilis";"(Blackwall, 1841) ";"Jørgen Lissner";"JL00003";1;1;1;0;0;"Jørgen Lissner";"Jørgen Lissner";8;4;1990;"EJ";"Assedrup, græsplæne";56.00475;10.18491;25;;;;;"NH70"
4;"Linyphiidae";"Neriene";"emphana";"(Walckenaer, 1842)";"Jørgen Lissner";"JL00004";1;1;0;1;0;"Jørgen Lissner";"Jørgen Lissner";15;8;2003;"NEZ";"Søminestationen, Dragerup Skov ved Holbæk";55.71187;11.78712;25;;;;;"PG77"
5;"Linyphiidae";"Porrhomma";"pygmaeum";"(Blackwall, 1834)";"Jørgen Lissner";"JL00005";1;1;1;0;0;"Jørgen Lissner";"Jørgen Lissner";1;4;1990;"EJ";"Assedrup, græsplæne";56.00475;10.18491;25;;;;;"NH70"
6;"Linyphiidae";"Porrhomma";"pygmaeum";"(Blackwall, 1834)";"Jørgen Lissner";"JL00006";1;1;1;0;0;"Jørgen Lissner";"Jørgen Lissner";12;4;1990;"EJ";"Assedrupvej 29, Odder (Århus)";56.00484;10.18475;25;;;;;"NH70"
7;"Linyphiidae";"Tenuiphantes";"flavipes";"(Blackwall, 1854)";"Jørgen Lissner";"JL00007";1;1;0;1;0;"Jørgen Lissner";"Jørgen Lissner";15;8;2003;"NEZ";"Søminestationen, Dragerup Skov ved Holbæk";55.71187;11.78712;25;;;;;"PG77"
8;"Linyphiidae";"Diplostyla";"concolor";"(Wider, 1834) ";"Jørgen Lissner";"JL00008";1;1;0;1;0;"Jørgen Lissner";"Jørgen Lissner";15;8;2003;"NEZ";"Søminestationen, Dragerup Skov ved Holbæk";55.71187;11.78712;25;;;;;"PG77"
9;"Araneidae";"Cyclosa";"conica";"(Pallas, 1772) ";"Jørgen Lissner";"JL00009";3;1;0;1;2;"Jørgen Lissner";"Jørgen Lissner";15;8;2003;"NEZ";"Søminestationen, Dragerup Skov ved Holbæk";55.71187;11.78712;25;;;;;"PG77"
10;"Sparassidae";"Micrommata";"virescens";"(Clerck, 1757) ";"Jørgen Lissner";"JL00010";2;1;0;0;2;"Jørgen Lissner";"Jørgen Lissner";15;7;1991;"NEJ";"Ilsø, Rigkær i Arden Skov";56.78852;9.9073;25;;;;;"NH59"
