"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Theridiidae";"Robertus";"arundineti";"(O. P.-Cambridge, 1871)";"ZMUC";"JL05928";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Theridiidae";"Robertus";"lividus";"(Blackwall, 1836)";"ZMUC";"JL05929";2;0;0;2;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Clubionidae";"Clubiona";"comta";"C. L. Koch, 1839";"ZMUC";"JL05930";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Thomisidae";"Ozyptila";"brevipes";"(Hahn, 1826)";"ZMUC";"JL05931";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Tenuiphantes";"zimmermanni";"(Bertkau, 1890)";"ZMUC";"JL05932";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Ceratinella";"brevis";"(Wider, 1834) ";"ZMUC";"JL05933";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Theridiidae";"Robertus";"scoticus";"Jackson, 1914";"ZMUC";"JL05935";2;0;0;2;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Centromerus";"arcanus";"(O. P.-Cambridge, 1873)";"ZMUC";"JL05936";13;0;0;13;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Oedothorax";"gibbosus";"(Blackwall, 1841) ";"ZMUC";"JL05937";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
;"Linyphiidae";"Tenuiphantes";"tenuis";"(Blackwall, 1852) ";"ZMUC";"JL05938";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";13;7;2007;"NEJ";"ZMUC Tofte Mose (sigtet af fugtigt, skimlet løv og mos under pilebuske i højmose)";56.86055;10.21339;25;;;;;"NJ70"
